batch_index,processed_items,total_items,percent_complete,elapsed_seconds,items_per_second
1,64,74432,0.08598452278589853,1.2417628765106201,51.53963064175453
10,640,74432,0.8598452278589854,9.647390842437744,66.33918024599095
20,1280,74432,1.7196904557179709,20.08396816253662,63.732425267812964
30,1920,74432,2.5795356835769563,29.913954496383667,64.1840917499594
40,2560,74432,3.4393809114359417,41.02894926071167,62.394968580182336
50,3200,74432,4.299226139294927,50.02330040931702,63.97018936807274
60,3840,74432,5.159071367153913,61.21504521369934,62.72967677463456
70,4480,74432,6.0189165950128976,73.16533637046814,61.23118162562389
80,5120,74432,6.878761822871883,84.24829721450806,60.77274163730286
90,5760,74432,7.738607050730868,95.64569354057312,60.22226183718972
100,6400,74432,8.598452278589853,105.05384683609009,60.9211389468258
110,7040,74432,9.458297506448838,115.16440057754517,61.1300016732138
120,7680,74432,10.318142734307825,124.22872710227966,61.82144966901998
130,8320,74432,11.17798796216681,136.23841190338135,61.069414152452424
140,8960,74432,12.037833190025795,147.3845989704132,60.793326185992335
150,9600,74432,12.89767841788478,159.34105849266052,60.24812493913607
160,10240,74432,13.757523645743767,171.42704963684082,59.733863597914684
170,10880,74432,14.617368873602752,184.25131392478943,59.04978243162579
180,11520,74432,15.477214101461737,195.464501619339,58.93653274411351
190,12160,74432,16.337059329320724,207.59365105628967,58.57597252192832
200,12800,74432,17.196904557179707,219.44898653030396,58.32790664646079
210,13440,74432,18.056749785038694,230.6727831363678,58.26435098784332
220,14080,74432,18.916595012897677,242.18854689598083,58.136522888703375
230,14720,74432,19.776440240756664,254.05761218070984,57.939614064898564
240,15360,74432,20.63628546861565,266.3579592704773,57.666758080251135
250,16000,74432,21.496130696474633,278.8195517063141,57.384784897915274
260,16640,74432,22.35597592433362,289.92994117736816,57.39317551139114
270,17280,74432,23.215821152192607,299.5837986469269,57.680021676890696
280,17920,74432,24.07566638005159,309.4762558937073,57.90428072825983
290,18560,74432,24.935511607910577,320.51419591903687,57.906951505787056
300,19200,74432,25.79535683576956,330.57295060157776,58.08097717934809
310,19840,74432,26.655202063628547,341.43139457702637,58.108306134467455
320,20480,74432,27.515047291487534,352.4122123718262,58.11376360133565
330,21120,74432,28.374892519346517,363.4572412967682,58.108623519637646
340,21760,74432,29.234737747205504,375.0569269657135,58.01785925150832
350,22400,74432,30.094582975064487,386.33039951324463,57.98145843097718
360,23040,74432,30.954428202923474,396.8057498931885,58.0636747481655
370,23680,74432,31.81427343078246,408.40580701828003,57.98154578869662
380,24320,74432,32.67411865864145,418.7644591331482,58.07560663181146
390,24960,74432,33.53396388650043,429.22744059562683,58.150988588622646
400,25600,74432,34.393809114359414,439.3679130077362,58.26552017591063
410,26240,74432,35.253654342218404,449.8677728176117,58.328250178165995
420,26880,74432,36.11349957007739,459.3399465084076,58.51875109997209
430,27520,74432,36.97334479793637,469.6041929721832,58.602543188174074
440,28160,74432,37.83319002579535,478.9328980445862,58.79738083345958
450,28800,74432,38.693035253654344,490.038072347641,58.770943779994326
460,29440,74432,39.55288048151333,499.3872046470642,58.952251331321875
470,30080,74432,40.41272570937231,509.8579008579254,58.99683019403077
480,30720,74432,41.2725709372313,521.3953778743744,58.918819198665226
490,31360,74432,42.132416165090284,532.8532104492188,58.85298124329989
500,32000,74432,42.99226139294927,544.3014049530029,58.79095609309148
510,32640,74432,43.85210662080826,555.7558679580688,58.73082387762148
520,33280,74432,44.71195184866724,566.7454171180725,58.72125119110868
530,33920,74432,45.571797076526224,576.7845034599304,58.808792185860874
540,34560,74432,46.431642304385214,587.6697449684143,58.8085405040845
550,35200,74432,47.2914875322442,596.5803515911102,59.002948900545924
560,35840,74432,48.15133276010318,607.2633900642395,59.018871524938554
570,36480,74432,49.011177987962164,615.6434607505798,59.255075909560276
580,37120,74432,49.871023215821154,625.3187992572784,59.36172084397467
590,37760,74432,50.73086844368014,633.9157304763794,59.56627700597342
600,38400,74432,51.59071367153912,644.1513559818268,59.61331858328552
610,39040,74432,52.45055889939811,654.1341111660004,59.68195104580439
620,39680,74432,53.310404127257094,664.5083603858948,59.71331944861753
630,40320,74432,54.17024935511608,675.8137509822845,59.66140810451921
640,40960,74432,55.03009458297507,685.9848120212555,59.70977677962182
650,41600,74432,55.88993981083405,696.7513165473938,59.70566400382298
660,42240,74432,56.749785038693034,707.4484965801239,59.70752670221556
670,42880,74432,57.609630266552024,719.2465970516205,59.61793934900257
680,43520,74432,58.46947549441101,726.9841010570526,59.863757593489126
690,44160,74432,59.32932072226999,737.5194728374481,59.876385134759715
700,44800,74432,60.189165950128974,746.3728280067444,60.02362133096729
710,45440,74432,61.049011177987964,756.1153755187988,60.096648568774214
720,46080,74432,61.90885640584695,766.5324490070343,60.11487192706846
730,46720,74432,62.76870163370593,778.9988260269165,59.97441644204185
740,47360,74432,63.62854686156492,791.7021310329437,59.820478111141135
750,48000,74432,64.4883920894239,803.5436029434204,59.73540181786477
760,48640,74432,65.3482373172829,815.2335517406464,59.6638839215416
770,49280,74432,66.20808254514188,826.8575937747955,59.599138196246635
780,49920,74432,67.06792777300086,837.0175185203552,59.64032878098717
790,50560,74432,67.92777300085984,847.5609652996063,59.65352590551103
800,51200,74432,68.78761822871883,858.7031991481781,59.62479242046577
810,51840,74432,69.64746345657781,870.1099073886871,59.57868030209951
820,52480,74432,70.50730868443681,880.4505531787872,59.60584590528758
830,53120,74432,71.36715391229579,890.6361644268036,59.64276112029093
840,53760,74432,72.22699914015477,901.4602944850922,59.636570050716806
850,54400,74432,73.08684436801376,910.4451246261597,59.75099270517521
860,55040,74432,73.94668959587274,918.0734305381775,59.95163150265157
870,55680,74432,74.80653482373172,927.0960385799408,60.05850276880336
880,56320,74432,75.6663800515907,936.7711865901947,60.12140510534092
890,56960,74432,76.5262252794497,945.397979259491,60.249758566879414
900,57600,74432,77.38607050730869,956.3826174736023,60.22694154788928
910,58240,74432,78.24591573516767,964.4115791320801,60.38915465159901
920,58880,74432,79.10576096302665,975.3729252815247,60.36665410105094
930,59520,74432,79.96560619088564,986.652777671814,60.325173502727296
940,60160,74432,80.82545141874462,998.4624915122986,60.25263894378247
950,60800,74432,81.68529664660362,1009.7982907295227,60.2100444793538
960,61440,74432,82.5451418744626,1021.9061005115509,60.122940815446796
970,62080,74432,83.40498710232158,1033.0031514167786,60.09662208179752
980,62720,74432,84.26483233018057,1043.4413704872131,60.10879170979602
990,63360,74432,85.12467755803955,1052.5806300640106,60.1949135204463
1000,64000,74432,85.98452278589853,1064.7749633789062,60.10659735734718
1010,64640,74432,86.84436801375752,1075.3060965538025,60.11311589059308
1020,65280,74432,87.70421324161651,1086.580403804779,60.07838883474707
1030,65920,74432,88.5640584694755,1095.951441526413,60.14865029803539
1040,66560,74432,89.42390369733448,1105.1225991249084,60.22861178724021
1050,67200,74432,90.28374892519346,1115.7677748203278,60.22758634593227
1060,67840,74432,91.14359415305245,1126.2196650505066,60.23691656721128
1070,68480,74432,92.00343938091143,1137.1447439193726,60.2210056074053
1080,69120,74432,92.86328460877043,1149.2931253910065,60.14131510312859
1090,69760,74432,93.72312983662941,1159.4240865707397,60.167802970465324
1100,70400,74432,94.5829750644884,1169.6146876811981,60.19076260026321
1110,71040,74432,95.44282029234738,1180.2293338775635,60.19169153049509
1120,71680,74432,96.30266552020636,1191.1046133041382,60.17943277136577
1130,72320,74432,97.16251074806534,1202.9609379768372,60.118327800093965
1140,72960,74432,98.02235597592433,1214.526184797287,60.07280939124218
1150,73600,74432,98.88220120378332,1226.1344413757324,60.02604405877403
1160,74240,74432,99.74204643164231,1239.1629993915558,59.91140797171377
1163,74432,74432,100.0,1242.4338130950928,59.90822144044719
